Date,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_PM10,STN_146_SO2,STN_146_NO2,STN_345_PM10,STN_345_SO2,STN_345_NO2
2012-06-19,,,,312.0,2.0,77.0,193.0,5.0,70.0
2012-06-20,,,,515.0,2.0,40.0,228.0,2.0,29.0
2012-06-21,,,,406.0,2.0,42.0,,,
2012-06-22,,,,372.0,2.0,47.0,,,
2012-06-23,,,,,,,,,
2012-06-24,,,,,,,,,
2012-06-25,,,,,,,,,
2012-06-26,,,,530.0,2.0,62.0,,,
2012-06-27,,,,307.0,2.0,83.0,,,
2012-06-28,307.0,2.0,37.0,295.0,2.0,66.0,,,
2012-06-29,209.0,2.0,36.0,284.0,2.0,50.0,,,
2012-06-30,,,,,,,,,
2012-07-01,137.0,5.0,54.0,,,,193.0,10.0,87.0
2012-07-02,,,,195.0,14.0,100.0,177.0,25.0,61.0
2012-07-03,,,,,,,,,
2012-07-04,,,,,,,,,
2012-07-05,,,,,,,,,
2012-07-06,185.0,2.0,65.0,,,,269.0,12.0,65.0
2012-07-07,,,,,,,,,
2012-07-08,,,,102.0,2.0,61.0,182.0,2.0,68.0
2012-07-09,,,,,,,,,
2012-07-10,,,,,,,,,
2012-07-11,544.0,9.0,99.0,577.0,5.0,131.0,,,
2012-07-12,,,,,,,,,
2012-07-13,46.0,2.0,51.0,98.0,2.0,64.0,,,
2012-07-14,,,,,,,,,
2012-07-15,,,,,,,,,
2012-07-16,,,,,,,,,
2012-07-17,89.0,2.0,64.0,,,,181.0,4.0,62.0
2012-07-18,114.0,2.0,51.0,,,,285.0,10.0,56.0
2012-07-19,138.0,4.0,54.0,,,,226.0,11.0,53.0
2012-07-20,,,,,,,,,
2012-07-21,,,,,,,65.0,3.0,38.0
2012-07-22,,,,,,,113.0,3.0,43.0
2012-07-23,,,,,,,120.0,5.0,64.0
2012-07-24,,,,116.0,2.0,50.0,,,
2012-07-25,,,,82.0,5.0,50.0,,,
2012-07-26,,,,110.0,3.0,55.0,,,
2012-07-27,,,,,,,106.0,2.0,61.0
2012-07-28,,,,,,,89.0,4.0,68.0
2012-07-29,,,,,,,,,
2012-07-30,,,,,,,,,
2012-07-31,,,,,,,,,
2012-08-01,179.0,2.0,78.0,,,,245.0,17.0,83.0
